"BCGI_BloombergGalaxyCryptoIndex","BCGI_EquallyWeighted","Coinbase_EquallyWeighted","CoinbaseIndexFund"
0.97,1,1,1
0.862452242542193,0.889023527862814,0.900998948285832,0.907724569105722
0.861446442203814,0.886370593551329,0.903930025955547,0.905021638356019
0.849717532404323,0.884970089694531,0.909411914040626,0.892983408927556
0.780150691631637,0.822088372954579,0.857029396836079,0.847292820723149
0.820060498921618,0.842954542222056,0.86042620352141,0.873235804243598
0.924388044563289,0.920538571919668,0.90278127624744,0.932804915780974
0.952891141764914,0.937909148184456,0.938605630538208,0.884532933480797
0.934983524099189,0.945302958822546,0.931291073982706,0.928500123667716
0.8582777502721,0.922306549136827,0.90820360824003,0.925059460235173
0.879151089906145,0.935136263406214,0.925820038448785,0.9669051446293
0.845764998941664,0.893147298332897,0.879959599507531,0.822637821918318
0.844416447993917,0.889810457689644,0.880601641968292,0.878510674173504
0.785698554126123,0.82686914548803,0.826764632007815,0.844159449847919
0.737723058176809,0.78844885564893,0.776160882630089,0.811302853990287
0.738100342699689,0.796857119612448,0.77075214117971,0.711230698991543
0.757306623376344,0.71105387025744,0.665165097653706,0.701095695377877
0.758064872356289,0.706478333581346,0.663945611636865,0.684555577228695
0.684820803308518,0.705325063448794,0.660681695290052,0.662198786941703
0.617032770719811,0.679065835208348,0.640716076349898,0.583414164883146
0.659129434549863,0.703686267052723,0.659939289596751,0.695713559227147
0.717294048950614,0.754681715761794,0.713358923310382,0.758717668710572
0.645615154552296,0.684005001236635,0.646444025636296,0.644244496814136
0.664028782804258,0.696346482124086,0.645551480746488,0.587445217231219
0.617633268020613,0.663495631529729,0.621485146508321,0.655434123429936
0.636186548845841,0.685398333980204,0.646331017811577,0.675811607517381
0.760003767958874,0.703117837523716,0.661545357281284,0.650385868270069
0.725446253432252,0.682488823690949,0.645322484186153,0.599030320294616
0.6697238909851,0.69178209887698,0.655991016439112,0.693020645426643
0.719582779060082,0.75748870133775,0.674070002102479,0.692458559554706
0.804540729340595,0.8462636201802,0.755231018347005,0.72810601976557
0.800801124217527,0.842805610838098,0.750205934891503,0.718594688752022
0.781542654290028,0.84582527100791,0.756803396792174,0.812705491658073
0.816253770364175,0.881885169149651,0.796801995731897,0.801360597063227
0.766551498762362,0.848909471652264,0.772147917239951,0.747160902637775
0.7540965176823,0.85169418914864,0.767305495538673,0.73377793332526
1.03564143728756,0.933268952278364,0.826665381252647,0.850130000911881
1.09432089951416,0.983134959943583,0.870325979609663,0.856311983938123
1.16992182614693,1.10055966938128,0.954648679324079,1.00228735931934
1.05982457437129,1.06650095767031,0.948670318555462,0.937687984552098
1.00946610776088,1.08444666706148,0.958625990554119,0.958941061214975
1.03519906606839,1.15422084483408,1.0375577725877,0.922534196641115
1.08298882458436,1.2612048166323,1.08702207654831,1.18765851663259
0.967494136822859,1.13448053178243,0.978657445348806,0.981779693272274
1.03670406147824,1.21782691533254,1.04869850982648,1.02730735536373
0.932842389377963,1.19067050761154,1.00094942799469,0.895371995898876
1.62110385231777,1.27428281628405,1.04920105781654,1.15383054406968
1.88016668218423,1.32531756026514,1.06682531612202,1.08923583309244
1.33906785270721,1.22177128387525,1.02637483049226,1.0206812226149
1.23746806292217,1.24439036706023,1.02300942517714,0.911371917278077
1.16013474541615,1.2789780000305,1.06199073183499,1.18879679960295
1.13145684968889,1.29694794665899,1.1351097787525,1.18818492649219
1.08041250456423,1.28121220939824,1.14836469482616,1.11499383400189
1.0677910050689,1.34006186255964,1.2357295229592,1.06973668479906
1.02783639835577,1.31913218496357,1.21101447815541,1.39842144380476
0.968338148434919,1.27935415256555,1.15441483396549,1.20481279436173
1.56141895876383,1.25360946329172,1.12808318461948,1.07430489566228
1.72866065868549,1.25015783324388,1.13596956197248,0.968358047995121
1.34162226714261,1.19084945692973,1.08055359066535,1.21886991163445
1.09885978706787,1.07248174558616,0.994238520636115,1.04704613729121
1.03137988177354,1.07078873374298,0.996407872635173,0.971452311358795
