"","symb","name.x","mcap","price","supply","vol","ch1h","ch24h","ch7d","name.y","algo","prooftype","premined","name","Purpose1","Purpose2","Regional","ConsensusAlgo","xchg-Binance","xchg-Poloniex","xchg-Huobi","Cat_mcap","Cat_rank","Cat_price.USD","Cat_price.BTC","Cat_supply","Category"
"19","CREDO","Credo",14666162,0.026671,549891703,NA,-3.32,8.42,12.76,"Credo","N/A","N/A","0","Credo","","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(0,0.03]","(1e-06,5e-06]","(5e+08,1e+09]","Communication"
"20","CSC","CasinoCoin",15407596,0.000428,35973085511,4004,-2.25,1.94,-12.41,"CasinoCoin","N/A","PoC","0","CasinoCoin","","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(0,0.03]","(0,1e-06]","(1e+10,1e+12]","Gambling"
"21","CVC","Civic",68404627,0.199605,342699966,5512290,-0.14,-0.59,14,"Civic","N/A","N/A","0","Civic","Identity","","","",NA,NA,NA,"(5e+07,1e+08]","(100,200]","(0.1,0.25]","(1e-05,5e-05]","(1e+08,5e+08]","Identity Managment"
"22","DASH","Dash",1974670965,241.38,8180621,185725000,-0.12,1.27,0.21,"Dash","X11","PoW/PoS","0","Dash","Currency","Privacy","","",NA,NA,NA,"(1e+09,1.2e+11]","(10,25]","(100,500]","(0.01,0.05]","(0,1e+07]","CryptoCurrency"
"23","DCR","Decred",488750437,63.98,7639423,4284250,0.06,1.97,-6.67,"Decred","BLAKE256","PoW/PoS","0","Decred","Currency","","","",NA,NA,NA,"(5e+08,1e+09]","(25,50]","(25,100]","(0.001,0.01]","(0,1e+07]","CryptoCurrency"
"24","DCT","DECENT",18564595,0.36184,51306089,1012110,-3.74,-6.2,3.01,"Decent","N/A","PoS","0","DECENT","","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(0.25,0.5]","(5e-05,0.0001]","(5e+07,1e+08]","Content Management"
"25","DENT","Dent",70660553,0.006657,10614760961,211955000,-0.63,41.4,73,"Dent","N/A","N/A","0","Dent","","","","",NA,NA,NA,"(5e+07,1e+08]","(100,200]","(0,0.03]","(1e-06,5e-06]","(1e+10,1e+12]","Communication"
"26","DGD","DigixDAO",198017200,99.01,2e+06,429605,-0.17,0.41,2.59,"Digix DAO","N/A","N/A","0","DigixDAO","Security","","","",NA,NA,NA,"(1e+08,5e+08]","(50,100]","(25,100]","(0.01,0.05]","(0,1e+07]","Gold"
"27","DNT","district0x",24804540,0.041341,6e+08,713081,0.83,6.5,28.94,"district0x","N/A","N/A","0","district0x","Governance","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(0.03,0.1]","(5e-06,1e-05]","(5e+08,1e+09]","Decentralised Market"
"28","EDG","Edgeless",33132909,0.346435,95639612,476895,-0.04,1.78,13.07,"Edgeless","N/A","N/A","0","Edgeless","","","","",NA,NA,NA,"(2.5e+07,5e+07]","(200,400]","(0.25,0.5]","(5e-05,0.0001]","(5e+07,1e+08]","Gambling"
"29","EDO","Eidoo",28146980,0.961913,29261461,1923840,0.14,-1.2,5.87,"Eidoo","N/A","N/A","0","Eidoo","Wallet","","","",NA,NA,NA,"(2.5e+07,5e+07]","(200,400]","(0.5,1]","(0.0001,0.001]","(1e+07,5e+07]","Finance"
"30","EMC","Emercoin",124801412,2.97,41973616,2268570,-0.17,-1.25,14.08,"Emercoin","SHA256","PoW/PoS","0","Emercoin","","","","",NA,NA,NA,"(1e+08,5e+08]","(50,100]","(1,10]","(0.0001,0.001]","(1e+07,5e+07]","Finance"
"31","EOS","EOS",7781902307,8.68,896149492,572222000,-0.11,0.45,8.51,"EOS","DPoS","DPoS","0","EOS","Platform","","","POS",NA,NA,NA,"(1e+09,1.2e+11]","(0,10]","(1,10]","(0.001,0.01]","(5e+08,1e+09]","Apps"
"32","ETH","Ethereum",47507845142,472.55,100534853,1534230000,-0.29,0.64,4.84,"Ethereum","Ethash","PoW","0","Ethereum","Platform","Coinbase","","POS",NA,NA,NA,"(1e+09,1.2e+11]","(0,10]","(100,500]","(0.05,1.01]","(1e+08,5e+08]","Smart Contract"
"33","FCT","Factom",99005049,11.32,8745102,503755,-0.08,8.84,25.54,"Factoids","N/A","N/A","1","Factom","","","","",NA,NA,NA,"(1e+08,5e+08]","(50,100]","(10,25]","(0.001,0.01]","(0,1e+07]","Notary Services"
"34","FUN","FunFair",144295892,0.028797,5010848189,2638470,-1.44,-2.61,20.44,"FunFair","N/A","N/A","0","FunFair","Gaming","","","",NA,NA,NA,"(1e+08,5e+08]","(50,100]","(0,0.03]","(1e-06,5e-06]","(1e+09,1e+10]","Gambling"
"35","GAME","GameCredits",37857872,0.588263,64355352,1019910,-0.4,-1.25,-2.94,"Gamecredits","Scrypt","PoW","0","GameCredits","","","","",NA,NA,NA,"(2.5e+07,5e+07]","(100,200]","(0.5,1]","(5e-05,0.0001]","(5e+07,1e+08]","Gambling"
"36","GNO","Gnosis",54842452,49.65,1104590,2923880,-0.6,7.46,16.3,"Gnosis","N/A","N/A","0","Gnosis","Prediction Markets","","","",NA,NA,NA,"(5e+07,1e+08]","(100,200]","(25,100]","(0.001,0.01]","(0,1e+07]","Predictions"
"37","GNT","Golem",295315832,0.351884,839242000,9528610,-0.48,3.39,6.35,"Golem Network Token","N/A","N/A","1","Golem","Computation","","","",NA,NA,NA,"(1e+08,5e+08]","(25,50]","(0.25,0.5]","(5e-05,0.0001]","(5e+08,1e+09]","Decentralized Computing"
"38","HMQ","Humaniq",13728499,0.081835,167757460,35227,-0.1,-1.93,1.89,"Humaniq","N/A","N/A","0","Humaniq","","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(0.03,0.1]","(1e-05,5e-05]","(1e+08,5e+08]","Apps"
"39","ICN","Iconomi",68297540,0.688782,99156976,527921,-0.13,2.4,13.1,"Iconomi","N/A","N/A","1","Iconomi","","","","",NA,NA,NA,"(5e+07,1e+08]","(100,200]","(0.5,1]","(0.0001,0.001]","(5e+07,1e+08]","Finance"
"40","IXT","iXledger",13384865,0.3741,35778844,347290,-0.4,-3.87,26.11,"iXledger","N/A","N/A","0","iXledger","","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(0.25,0.5]","(5e-05,0.0001]","(1e+07,5e+07]","Insurance"
"41","KICK","KickCoin",21270604,0.043382,490311699,1056240,0.65,17.28,3.91,"KickCoin","N/A","N/A","0","KickCoin","","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(0.03,0.1]","(5e-06,1e-05]","(1e+08,5e+08]","Crowd Funding"
"42","KIN","Kin",105036317,0.000139,756097560976,365923,-1.93,-0.15,0.37,"Kin","N/A","N/A","0","Kin","eCommerce","","","",NA,NA,NA,"(1e+08,5e+08]","(50,100]","(0,0.03]","(0,1e-06]","(1e+10,1e+12]","Social Network"
"43","KMD","Komodo",166484581,1.6,104254857,1849710,-0.24,1.51,4.88,"Komodo","Equihash","dPoW/PoW","0","Komodo","Platform","","","",NA,NA,NA,"(1e+08,5e+08]","(50,100]","(1,10]","(0.0001,0.001]","(1e+08,5e+08]","Private Cryptocurrency"
"44","LINK","ChainLink",84544600,0.241556,3.5e+08,966939,-2.16,8.46,18.8,"ChainLink","N/A","N/A","0","ChainLink","Oracle","","","",NA,NA,NA,"(5e+07,1e+08]","(100,200]","(0.1,0.25]","(1e-05,5e-05]","(1e+08,5e+08]","Smart Contract"
"45","LKK","Lykke",18983968,0.059922,316809739,NA,NA,NA,NA,"Lykke","N/A","N/A","1","Lykke","","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(0.03,0.1]","(5e-06,1e-05]","(1e+08,5e+08]","Apps"
"46","LRC","Loopring",194818671,0.340548,572074043,4974420,-1.27,2.48,-2.21,"Loopring","N/A","N/A","0","Loopring","","","Asia","",NA,NA,NA,"(1e+08,5e+08]","(50,100]","(0.25,0.5]","(5e-05,0.0001]","(5e+08,1e+09]","Decentralized Exchange"
"47","LSK","Lisk",603102017,5.6,107718140,7120660,-0.41,1.79,6.68,"Lisk","DPoS","DPoS","1","Lisk","Platform","","","",NA,NA,NA,"(5e+08,1e+09]","(25,50]","(1,10]","(0.0001,0.001]","(1e+08,5e+08]","Apps"
"48","LTC","Litecoin",4765119788,83.17,57293871,243767000,-0.39,0.05,1.62,"Litecoin","Scrypt","PoW","0","Litecoin","Currency","Coinbase","","POW",NA,NA,NA,"(1e+09,1.2e+11]","(0,10]","(25,100]","(0.01,0.05]","(5e+07,1e+08]","CryptoCurrency"
"49","LUN","Lunyr",17482962,7.61,2297853,2666770,-0.32,3.25,10.63,"Lunyr","N/A","N/A","0","Lunyr","","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(1,10]","(0.001,0.01]","(0,1e+07]","Wiki"
"50","MAID","MaidSafeCoin",155613767,0.343858,452552412,2371150,-0.09,7.06,4.42,"MaidSafe Coin","N/A","N/A","0","MaidSafeCoin","","","","",NA,NA,NA,"(1e+08,5e+08]","(50,100]","(0.25,0.5]","(5e-05,0.0001]","(1e+08,5e+08]","Private Cryptocurrency"
"51","MANA","Decentraland",103030119,0.098111,1050141509,9972070,-0.6,1.84,13.65,"Decentraland","N/A","N/A","0","Decentraland","Gaming","","","",NA,NA,NA,"(1e+08,5e+08]","(50,100]","(0.03,0.1]","(1e-05,5e-05]","(1e+09,1e+10]","VR"
"52","MCO","Monaco",142455302,9.02,15793831,23809900,0.81,15.58,33.73,"Monaco","N/A","N/A","0","Monaco","Scam","","","",NA,NA,NA,"(1e+08,5e+08]","(50,100]","(1,10]","(0.001,0.01]","(1e+07,5e+07]","Finance"
"53","MGO","MobileGo",17956734,0.183178,98028877,509039,-0.05,-0.42,-8.93,"MobileGo","N/A","N/A","0","MobileGo","","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(0.1,0.25]","(1e-05,5e-05]","(5e+07,1e+08]","Gambling"
"54","MLN","Melon",17421801,29.07,599400,162248,-0.12,1.45,4.85,"Melon","N/A","N/A","1","Melon","","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(25,100]","(0.001,0.01]","(0,1e+07]","Finance"
"55","MSP","Mothership",16354940,0.116821,1.4e+08,37641,-0.35,0.29,-1.16,"Mothership","N/A","N/A","0","Mothership","Platform","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(0.1,0.25]","(1e-05,5e-05]","(1e+08,5e+08]","Decentralized Exchange"
"56","MTL","Metal",39727648,1.58,25130243,11870900,-0.85,19.8,21.75,"Metal","N/A","PoPP","0","Metal","Crypto Payment","","","",NA,NA,NA,"(2.5e+07,5e+07]","(100,200]","(1,10]","(0.0001,0.001]","(1e+07,5e+07]","CryptoCurrency"
"57","NEBL","Neblio",55484362,4.17,13297343,2678120,0.9,-1.08,11.47,"Neblio","N/A","N/A","0","Neblio","Platform","","","",NA,NA,NA,"(5e+07,1e+08]","(100,200]","(1,10]","(0.0001,0.001]","(1e+07,5e+07]","Internet of Things"
"58","NEO","NEO",2426541000,37.33,6.5e+07,123633000,0.3,-2.39,20.68,"NEO","N/A","N/A","1","NEO","Platform","","Asia","DPOS",NA,NA,NA,"(1e+09,1.2e+11]","(10,25]","(25,100]","(0.001,0.01]","(5e+07,1e+08]","Smart Contract"
"59","NXT","Nxt",99817776,0.099918,998999942,3325080,0.11,3.17,4.48,"Nxt","PoS","PoS/LPoS","1","Nxt","","","","",NA,NA,NA,"(5e+07,1e+08]","(50,100]","(0.03,0.1]","(1e-05,5e-05]","(5e+08,1e+09]","Crowd Funding"
"60","OMG","OmiseGO",815059780,7.99,102042552,30796300,-0.06,-0.6,7.46,"OmiseGo","N/A","PoS","0","OmiseGO","Banking","","Asia","POS",NA,NA,NA,"(5e+08,1e+09]","(10,25]","(1,10]","(0.001,0.01]","(1e+08,5e+08]","CryptoCurrency"
"61","PART","Particl",50810161,5.07,10028315,350228,-0.83,8.65,26.63,"Particl","PoS","PoS","0","Particl","","","","",NA,NA,NA,"(5e+07,1e+08]","(100,200]","(1,10]","(0.0001,0.001]","(1e+07,5e+07]","Decentralised Market"
"62","PAY","TenX",69444222,0.635934,109200361,3969850,-0.21,-3.18,-23.85,"TenX","N/A","N/A","0","TenX","Crypto Payment","","","",NA,NA,NA,"(5e+07,1e+08]","(100,200]","(0.5,1]","(5e-05,0.0001]","(1e+08,5e+08]","Finance"
"63","PLR","Pillar",41252962,0.159064,259348201,25454,-3.21,6.92,7.31,"Pillar","N/A","N/A","1","Pillar","","","","",NA,NA,NA,"(2.5e+07,5e+07]","(100,200]","(0.1,0.25]","(1e-05,5e-05]","(1e+08,5e+08]","Identity Managment"
"64","POE","Po.et",41938082,0.018098,2317238741,3732760,-1.35,0.54,24.41,"Po.et","N/A","N/A","0","Po.et","","","","",NA,NA,NA,"(2.5e+07,5e+07]","(100,200]","(0,0.03]","(1e-06,5e-06]","(1e+09,1e+10]","Content Management"
"65","PPT","Populous",289408124,7.82,37004027,8658620,0.21,-0.09,16.56,"Populous","N/A","N/A","0","Populous","","","","",NA,NA,NA,"(1e+08,5e+08]","(25,50]","(1,10]","(0.001,0.01]","(1e+07,5e+07]","Finance"
"66","PST","Primas",20466176,0.39973,51199999,4390230,-1.41,-12.9,88.87,"Primas","N/A","N/A","0","Primas","","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(0.25,0.5]","(5e-05,0.0001]","(5e+07,1e+08]","Content Management"
"67","QTUM","Qtum",827927084,9.34,88664516,136813000,1.47,6.79,9.51,"QTUM","POS 3.0","PoS","0","Qtum","Platform","","","",NA,NA,NA,"(5e+08,1e+09]","(10,25]","(1,10]","(0.001,0.01]","(5e+07,1e+08]","Smart Contract"
"68","REP","Augur",398020700,36.18,1.1e+07,6537900,-0.42,-3.15,5.92,"Augur","N/A","N/A","1","Augur","","","","",NA,NA,NA,"(1e+08,5e+08]","(25,50]","(25,100]","(0.001,0.01]","(1e+07,5e+07]","Predictions"
"69","SALT","SALT",68941605,1.16,59517590,2024490,-0.08,-0.16,6.85,"Salt Lending","N/A","N/A","0","SALT","Lending","","","",NA,NA,NA,"(5e+07,1e+08]","(100,200]","(1,10]","(0.0001,0.001]","(5e+07,1e+08]","Finance"
"70","SHIFT","Shift",12830509,1.05,12214879,30670,-0.06,1.71,8.37,"Shift","DPoS","DPoS","0","Shift","","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(1,10]","(0.0001,0.001]","(1e+07,5e+07]","Finance"
"71","SKY","Skycoin",62599800,6.26,1e+07,3572570,2.03,16.08,5.32,"Skycoin","N/A","N/A","0","Skycoin","","","","",NA,NA,NA,"(5e+07,1e+08]","(100,200]","(1,10]","(0.0001,0.001]","(0,1e+07]","Private Cryptocurrency"
"72","SNGLS","SingularDTV",22626360,0.037711,6e+08,454400,-0.52,4.45,12.82,"SingularDTV","N/A","N/A","1","SingularDTV","","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(0.03,0.1]","(5e-06,1e-05]","(5e+08,1e+09]","Music"
"73","SNM","SONM",53847583,0.149743,359600000,2926990,0.72,1.3,-5.8,"SONM","N/A","N/A","0","SONM","Computation","","","",NA,NA,NA,"(5e+07,1e+08]","(100,200]","(0.1,0.25]","(1e-05,5e-05]","(1e+08,5e+08]","Decentralized Computing"
"74","SNT","Status",283087363,0.08157,3470483788,21512900,-0.42,-0.32,22.86,"Status Network Token","N/A","N/A","0","Status","","","","",NA,NA,NA,"(1e+08,5e+08]","(25,50]","(0.03,0.1]","(1e-05,5e-05]","(1e+09,1e+10]","Apps"
"75","STEEM","Steem",410633100,1.56,263726751,4873270,0.07,4.31,15.78,"Steem","N/A","PoW","1","Steem","Online Media","","","",NA,NA,NA,"(1e+08,5e+08]","(25,50]","(1,10]","(0.0001,0.001]","(1e+08,5e+08]","Social Network"
"76","STORJ","Storj",68880130,0.507264,135787539,3020200,-0.33,2.84,11.09,"Storj","N/A","N/A","1","Storj","Data Storage","","","",NA,NA,NA,"(5e+07,1e+08]","(100,200]","(0.5,1]","(5e-05,0.0001]","(1e+08,5e+08]","Decentralized Computing"
"77","STRAT","Stratis",257727302,2.61,98924232,4100660,0.17,2.31,3.54,"Stratis","X13","PoW/PoS","1","Stratis","","","","",NA,NA,NA,"(1e+08,5e+08]","(25,50]","(1,10]","(0.0001,0.001]","(5e+07,1e+08]","Internet of Things"
"78","SUB","Substratum",90232087,0.23558,383021000,1307110,3.01,-1.39,18.52,"Substratum Network","N/A","N/A","0","Substratum","Computation","","","",NA,NA,NA,"(5e+07,1e+08]","(100,200]","(0.1,0.25]","(1e-05,5e-05]","(1e+08,5e+08]","Decentralized Computing"
"79","SYS","Syscoin",93069892,0.173491,536453719,3125760,-0.32,-3.84,-0.54,"SysCoin","SHA256","PoW","0","Syscoin","","","","",NA,NA,NA,"(5e+07,1e+08]","(100,200]","(0.1,0.25]","(1e-05,5e-05]","(5e+08,1e+09]","Decentralised Market"
"80","TAAS","TaaS",16985715,2.09,8146001,162942,-0.13,4.43,-2.27,"Token as a Service","N/A","N/A","0","TaaS","","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(1,10]","(0.0001,0.001]","(0,1e+07]","Smart Contract"
"81","TKN","TokenCard",28049190,1.16,24155556,126587,-0.31,-1.92,18.11,"TokenCard  ","N/A","N/A","0","TokenCard","","","","",NA,NA,NA,"(2.5e+07,5e+07]","(200,400]","(1,10]","(0.0001,0.001]","(1e+07,5e+07]","Finance"
"82","TNT","Tierion",20427073,0.047673,428481269,883800,-0.15,1.3,17.68,"Tierion","N/A","N/A","0","Tierion","Identity","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(0.03,0.1]","(5e-06,1e-05]","(1e+08,5e+08]","Notary Services"
"83","UBQ","Ubiq",40557002,0.97628,41542387,42974,-0.06,5.89,14.41,"Ubiq","Dagger-Hashimoto","PoW","0","Ubiq","Platform","","","",NA,NA,NA,"(2.5e+07,5e+07]","(100,200]","(0.5,1]","(0.0001,0.001]","(1e+07,5e+07]","Smart Contract"
"84","USDT","Tether",2611598556,1,2607140346,2340810000,-0.09,-0.49,-0.12,"Tether","N/A","N/A","0","Tether","Stablecoin","","",NA,NA,NA,NA,"(1e+09,1.2e+11]","(0,10]","(0.5,1]","(0.0001,0.001]","(1e+09,1e+10]","CryptoCurrency"
"85","VERI","Veritaseum",127853880,62.78,2036645,2230940,0.38,4.39,31.11,"Veritaseum","N/A","N/A","0","Veritaseum","Scam","","","",NA,NA,NA,"(1e+08,5e+08]","(50,100]","(25,100]","(0.001,0.01]","(0,1e+07]","Financial"
"86","VIB","Viberate",15004117,0.087206,172053132,3713660,0.67,-3.15,26.89,"Viberate","N/A","N/A","0","Viberate","","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(0.03,0.1]","(1e-05,5e-05]","(1e+08,5e+08]","Event Management"
"87","VIBE","VIBE",16353149,0.081684,200200144,296639,-1.23,9.11,12.1,"VIBEHub","N/A","N/A","0","VIBE","","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(0.03,0.1]","(1e-05,5e-05]","(1e+08,5e+08]","VR"
"88","VTC","Vertcoin",47320217,1.05,44973500,1576440,0.07,12.3,22.21,"Vertcoin","Lyra2RE","PoW","0","Vertcoin","Currency","","","",NA,NA,NA,"(2.5e+07,5e+07]","(100,200]","(1,10]","(0.0001,0.001]","(1e+07,5e+07]","CryptoCurrency"
"89","WAVES","Waves",297883000,2.98,1e+08,15146200,0.06,2.75,11.02,"Waves","Leased POS","LPoS","1","Waves","Platform","","","",NA,NA,NA,"(1e+08,5e+08]","(25,50]","(1,10]","(0.0001,0.001]","(5e+07,1e+08]","Content Management"
"90","WGR","Wagerr",23477985,0.128295,1.83e+08,15507,-0.67,4.55,-2.5,"Wagerr","PoS","N/A","0","Wagerr","","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(0.1,0.25]","(1e-05,5e-05]","(1e+08,5e+08]","Gambling"
"91","WINGS","Wings",20498982,0.228507,89708333,1312230,0.23,5.65,12.7,"Wings DAO","N/A","N/A","1","Wings","Platform","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(0.1,0.25]","(1e-05,5e-05]","(5e+07,1e+08]","Crowd Funding"
"92","XAS","Asch",42973139,0.460318,93355331,6608140,0.04,-1.59,-8.22,"Asch","N/A","N/A","0","Asch","","","","",NA,NA,NA,"(2.5e+07,5e+07]","(100,200]","(0.25,0.5]","(5e-05,0.0001]","(5e+07,1e+08]","Finance"
"93","XCP","Counterparty",21285637,8.14,2616197,202256,0.02,2.3,4.71,"CounterParty","N/A","PoW","1","Counterparty","","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(1,10]","(0.001,0.01]","(0,1e+07]","Crowd Funding"
"94","XDN","DigitalNote",41450757,0.006001,6906847847,1524400,-0.37,1.8,3.13,"DigitalNote ","CryptoNight","PoW","0","DigitalNote","","","","",NA,NA,NA,"(2.5e+07,5e+07]","(100,200]","(0,0.03]","(0,1e-06]","(1e+09,1e+10]","Private Cryptocurrency"
"95","XEL","Elastic",11766283,0.128346,91676277,110139,-2.52,-8.08,-1.67,"Elastic","N/A","PoW","0","Elastic","","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(0.1,0.25]","(1e-05,5e-05]","(5e+07,1e+08]","Decentralized Computing"
"96","XEM","NEM",1678554000,0.186506,8999999999,21835400,0.23,1.86,16.85,"NEM","N/A","PoI","0","NEM","","","","",NA,NA,NA,"(1e+09,1.2e+11]","(10,25]","(0.1,0.25]","(1e-05,5e-05]","(1e+09,1e+10]","Smart Contract"
"97","XMR","Monero",2166954752,133.75,16201531,31313600,-0.16,-1.33,3.19,"Monero","CryptoNight-V7","PoW","0","Monero","Currency","Privacy","","",NA,NA,NA,"(1e+09,1.2e+11]","(10,25]","(100,500]","(0.01,0.05]","(1e+07,5e+07]","Private Cryptocurrency"
"98","XVG","Verge",366820980,0.024366,15054315539,6479300,-0.2,1.03,3.37,"Verge","Multiple","PoW","0","Verge","Scam","Privacy","","",NA,NA,NA,"(1e+08,5e+08]","(25,50]","(0,0.03]","(1e-06,5e-06]","(1e+10,1e+12]","Private Cryptocurrency"
