name|symb|Cat_mcap|Cat_rank|Cat_price.USD|Cat_price.BTC|Cat_supply
e-Gulden|EFL|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(1e-05,5e-05]|(1e+07,5e+07]
EncryptoTel[...|ETT|(0,1e+07]|(200,1e+03]|(0,0.03]|(1e-06,5e-06]|(5e+07,1e+08]
Galactrum|ORE|(0,1e+07]|(200,1e+03]|(0.5,1]|(0.0001,0.001]|(0,1e+07]
EverGreenCoin|EGC|(0,1e+07]|(200,1e+03]|(0.1,0.25]|(1e-05,5e-05]|(1e+07,5e+07]
Ergo|EFYT|(0,1e+07]|(200,1e+03]|(1,10]|(0.0001,0.001]|(0,1e+07]
Crave|CRAVE|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(1e-05,5e-05]|(1e+07,5e+07]
SugarExchange|SGR|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(1e-05,5e-05]|(1e+07,5e+07]
Nullex|NLX|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(1e-06,5e-06]|(1e+07,5e+07]
Verify|CRED|(0,1e+07]|(200,1e+03]|(0.1,0.25]|(1e-05,5e-05]|(1e+07,5e+07]
Daneel|DAN|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(5e-06,1e-05]|(1e+07,5e+07]
BlitzPredict|XBP|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+08,5e+08]
Quark|QRK|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+08,5e+08]
LOCIcoin|LOCI|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(5e-06,1e-05]|(1e+07,5e+07]
AudioCoin|ADC|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(5e+08,1e+09]
Bigbom|BBO|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+08,5e+08]
EventChain|EVC|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(5e-06,1e-05]|(1e+07,5e+07]
808Coin|808|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+10,1e+12]
HunterCoin|HUC|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(5e-06,1e-05]|(1e+07,5e+07]
Carboncoin|CARBON|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+10,1e+12]
XGOX|XGOX|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+09,1e+10]
Argentum|ARG|(0,1e+07]|(200,1e+03]|(0.1,0.25]|(1e-05,5e-05]|(0,1e+07]
SkinCoin|SKIN|(0,1e+07]|(200,1e+03]|(0,0.03]|(1e-06,5e-06]|(5e+07,1e+08]
Ace|ACE|(0,1e+07]|(200,1e+03]|(0.1,0.25]|(1e-05,5e-05]|(0,1e+07]
Autonio|NIO|(0,1e+07]|(200,1e+03]|(0,0.03]|(1e-06,5e-06]|(5e+07,1e+08]
FantasyGold|FGC|(0,1e+07]|(200,1e+03]|(0.1,0.25]|(1e-05,5e-05]|(0,1e+07]
SyncFab|MFG|(0,1e+07]|(200,1e+03]|(0,0.03]|(1e-06,5e-06]|(1e+08,5e+08]
FundRequest|FND|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(5e-06,1e-05]|(1e+07,5e+07]
MicroMoney|AMM|(0,1e+07]|(200,1e+03]|(0.1,0.25]|(1e-05,5e-05]|(1e+07,5e+07]
PHIToken|PHI|(0,1e+07]|(200,1e+03]|(0.1,0.25]|(1e-05,5e-05]|(0,1e+07]
MonsterByte|MBI|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(1e-05,5e-05]|(1e+07,5e+07]
StellarHoldings|HOLD|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(5e+08,1e+09]
Creativecoin|CREA|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(1e-05,5e-05]|(1e+07,5e+07]
BoutsPro|BOUTS|(0,1e+07]|(200,1e+03]|(0,0.03]|(1e-06,5e-06]|(5e+07,1e+08]
Tokenbox|TBX|(0,1e+07]|(200,1e+03]|(0.1,0.25]|(1e-05,5e-05]|(1e+07,5e+07]
LiteDoge|LDOGE|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+10,1e+12]
Stellite|XTL|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+09,1e+10]
NEVERDIE|NDC|(0,1e+07]|(200,1e+03]|(0,0.03]|(1e-06,5e-06]|(1e+07,5e+07]
I0Coin|I0C|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(5e-06,1e-05]|(1e+07,5e+07]
Xenon|XNN|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+08,5e+08]
Chronologic|DAY|(0,1e+07]|(200,1e+03]|(1,10]|(0.0001,0.001]|(0,1e+07]
Ethorse|HORSE|(0,1e+07]|(200,1e+03]|(0,0.03]|(1e-06,5e-06]|(1e+08,5e+08]
PutinCoin|PUT|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+08,5e+08]
TrustPlus|TRUST|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(5e-06,1e-05]|(1e+07,5e+07]
WeAreSatoshi|WSX|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(5e-06,1e-05]|(1e+07,5e+07]
PylonNetwork|PYLNT|(0,1e+07]|(200,1e+03]|(1,10]|(0.0001,0.001]|(0,1e+07]
eBitcoin|EBTC|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(5e-06,1e-05]|(1e+07,5e+07]
Vsync|VSX|(0,1e+07]|(200,1e+03]|(0,0.03]|(1e-06,5e-06]|(1e+08,5e+08]
BunnyCoin|BUN|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+10,1e+12]
FabricToken|FT|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(5e-06,1e-05]|(1e+07,5e+07]
Digitalcoin|DGC|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(5e-06,1e-05]|(1e+07,5e+07]
Jiyo|JIYO|(0,1e+07]|(200,1e+03]|(0,0.03]|(1e-06,5e-06]|(1e+07,5e+07]
Tracto|TRCT|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(5e-06,1e-05]|(1e+07,5e+07]
Kobocoin|KOBO|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(5e-06,1e-05]|(1e+07,5e+07]
Condensate|RAIN|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+08,5e+08]
Invacio|INV|(0,1e+07]|(200,1e+03]|(0,0.03]|(1e-06,5e-06]|(1e+07,5e+07]
KanadeCoin|KNDC|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+09,1e+10]
GoldMint|MNTP|(0,1e+07]|(200,1e+03]|(0.5,1]|(5e-05,0.0001]|(0,1e+07]
