"Index","Close.MKR"
"2018-05-28 17:34:00",
"2018-05-28 17:35:00",
"2018-05-28 17:36:00",721.26
"2018-05-28 17:37:00",721.25
"2018-05-28 17:38:00",721.17
"2018-05-28 17:39:00",721.18
"2018-05-28 17:40:00",721.2
"2018-05-28 17:41:00",721.1
"2018-05-28 17:42:00",721
"2018-05-28 17:43:00",721.04
"2018-05-28 17:44:00",721.07
"2018-05-28 17:45:00",721.07
"2018-05-28 17:46:00",719.85
"2018-05-28 17:47:00",719.89
"2018-05-28 17:48:00",719.85
"2018-05-28 17:49:00",720.1
"2018-05-28 17:50:00",720.48
"2018-05-28 17:51:00",720.32
"2018-05-28 17:52:00",721.88
"2018-05-28 17:53:00",720.17
"2018-05-28 17:54:00",720.33
"2018-05-28 17:55:00",720.15
"2018-05-28 17:56:00",720.8
"2018-05-28 17:57:00",720.91
"2018-05-28 17:58:00",720.92
"2018-05-28 17:59:00",721.21
"2018-05-28 18:00:00",722.29
"2018-05-28 18:01:00",722.63
"2018-05-28 18:02:00",723.07
"2018-05-28 18:03:00",723.1
"2018-05-28 18:04:00",723.06
"2018-05-28 18:05:00",723.21
"2018-05-28 18:06:00",723.33
"2018-05-28 18:07:00",723
"2018-05-28 18:08:00",720.44
"2018-05-28 18:09:00",720.7
"2018-05-28 18:10:00",720.7
"2018-05-28 18:11:00",722.14
"2018-05-28 18:12:00",720.39
"2018-05-28 18:13:00",720.33
"2018-05-28 18:14:00",720.41
"2018-05-28 18:15:00",720.33
"2018-05-28 18:16:00",720.28
"2018-05-28 18:17:00",720.74
"2018-05-28 18:18:00",721.1
"2018-05-28 18:19:00",721.13
"2018-05-28 18:20:00",721.15
"2018-05-28 18:21:00",721.1
"2018-05-28 18:22:00",721.11
"2018-05-28 18:23:00",721.13
"2018-05-28 18:24:00",721.29
"2018-05-28 18:25:00",720.25
"2018-05-28 18:26:00",720.76
"2018-05-28 18:27:00",720.91
"2018-05-28 18:28:00",720.89
"2018-05-28 18:29:00",720.24
"2018-05-28 18:30:00",720.85
"2018-05-28 18:31:00",720.78
"2018-05-28 18:32:00",720.62
"2018-05-28 18:33:00",720.21
"2018-05-28 18:34:00",720.5
"2018-05-28 18:35:00",722.94
"2018-05-28 18:36:00",724.2
"2018-05-28 18:37:00",724.61
"2018-05-28 18:38:00",723.8
"2018-05-28 18:39:00",723.48
"2018-05-28 18:40:00",723.54
"2018-05-28 18:41:00",723.57
"2018-05-28 18:42:00",722.61
"2018-05-28 18:43:00",717.73
"2018-05-28 18:44:00",734.34
"2018-05-28 18:45:00",734.89
"2018-05-28 18:46:00",733.28
"2018-05-28 18:47:00",733.63
"2018-05-28 18:48:00",733.33
"2018-05-28 18:49:00",732.9
"2018-05-28 18:50:00",733.32
"2018-05-28 18:51:00",733.11
"2018-05-28 18:52:00",733.1
"2018-05-28 18:53:00",732.73
"2018-05-28 18:54:00",732.35
"2018-05-28 18:55:00",732.16
"2018-05-28 18:56:00",732.16
"2018-05-28 18:57:00",732.23
"2018-05-28 18:58:00",731.71
"2018-05-28 18:59:00",730.06
"2018-05-28 19:00:00",730.1
"2018-05-28 19:01:00",729.53
"2018-05-28 19:02:00",730.7
"2018-05-28 19:03:00",730.93
"2018-05-28 19:04:00",732.07
"2018-05-28 19:05:00",732.7
"2018-05-28 19:06:00",733.12
"2018-05-28 19:07:00",733.5
"2018-05-28 19:08:00",733.66
"2018-05-28 19:09:00",733.53
"2018-05-28 19:10:00",732
"2018-05-28 19:11:00",732.87
"2018-05-28 19:12:00",732.94
"2018-05-28 19:13:00",733.04
"2018-05-28 19:14:00",732.72
"2018-05-28 19:15:00",732.79
"2018-05-28 19:16:00",732.75
"2018-05-28 19:17:00",732.8
"2018-05-28 19:18:00",732.94
"2018-05-28 19:19:00",732.96
"2018-05-28 19:20:00",732.97
"2018-05-28 19:21:00",733.14
"2018-05-28 19:22:00",733.32
"2018-05-28 19:23:00",733.25
"2018-05-28 19:24:00",733.17
"2018-05-28 19:25:00",733.17
"2018-05-28 19:26:00",732.93
"2018-05-28 19:27:00",732.82
"2018-05-28 19:28:00",732.8
"2018-05-28 19:29:00",732.91
"2018-05-28 19:30:00",733.42
"2018-05-28 19:31:00",733.56
"2018-05-28 19:32:00",733.8
"2018-05-28 19:33:00",733.54
"2018-05-28 19:34:00",733.61
"2018-05-28 19:35:00",733.73
"2018-05-28 19:36:00",736.83
"2018-05-28 19:37:00",737.59
"2018-05-28 19:38:00",736.76
"2018-05-28 19:39:00",736.74
"2018-05-28 19:40:00",737.67
"2018-05-28 19:41:00",737.77
"2018-05-28 19:42:00",738.47
"2018-05-28 19:43:00",738.98
"2018-05-28 19:44:00",740.39
"2018-05-28 19:45:00",742.49
"2018-05-28 19:46:00",741.03
"2018-05-28 19:47:00",740.26
"2018-05-28 19:48:00",738.77
"2018-05-28 19:49:00",737.55
"2018-05-28 19:50:00",739.03
"2018-05-28 19:51:00",739.24
"2018-05-28 19:52:00",738.81
"2018-05-28 19:53:00",738.79
"2018-05-28 19:54:00",740.38
"2018-05-28 19:55:00",740.49
"2018-05-28 19:56:00",740.43
"2018-05-28 19:57:00",738.71
"2018-05-28 19:58:00",737.77
"2018-05-28 19:59:00",737.53
"2018-05-28 20:00:00",738.89
"2018-05-28 20:01:00",737.49
"2018-05-28 20:02:00",738.21
"2018-05-28 20:03:00",738.22
"2018-05-28 20:04:00",738.32
"2018-05-28 20:05:00",739.65
"2018-05-28 20:06:00",738.75
"2018-05-28 20:07:00",738.61
"2018-05-28 20:08:00",738.46
"2018-05-28 20:09:00",738.22
"2018-05-28 20:10:00",738.5
"2018-05-28 20:11:00",738.29
"2018-05-28 20:12:00",738.22
"2018-05-28 20:13:00",738.74
"2018-05-28 20:14:00",738.7
"2018-05-28 20:15:00",736.6
"2018-05-28 20:16:00",736.53
"2018-05-28 20:17:00",736.6
"2018-05-28 20:18:00",734.8
"2018-05-28 20:19:00",734.43
"2018-05-28 20:20:00",734.76
"2018-05-28 20:21:00",735.17
"2018-05-28 20:22:00",736.09
"2018-05-28 20:23:00",736.76
"2018-05-28 20:24:00",736.58
"2018-05-28 20:25:00",737.11
"2018-05-28 20:26:00",737.11
"2018-05-28 20:27:00",737.11
"2018-05-28 20:28:00",736.61
"2018-05-28 20:29:00",736.18
"2018-05-28 20:30:00",736.18
"2018-05-28 20:31:00",736.08
"2018-05-28 20:32:00",735.38
"2018-05-28 20:33:00",735.55
"2018-05-28 20:34:00",735.97
"2018-05-28 20:35:00",735.92
"2018-05-28 20:36:00",736.09
"2018-05-28 20:37:00",736.12
"2018-05-28 20:38:00",736.2
"2018-05-28 20:39:00",736.02
"2018-05-28 20:40:00",736.06
"2018-05-28 20:41:00",736.26
"2018-05-28 20:42:00",736.43
"2018-05-28 20:43:00",736.25
"2018-05-28 20:44:00",736.25
"2018-05-28 20:45:00",736.13
"2018-05-28 20:46:00",735.27
"2018-05-28 20:47:00",733.43
"2018-05-28 20:48:00",733.26
"2018-05-28 20:49:00",733.4
"2018-05-28 20:50:00",732.76
"2018-05-28 20:51:00",731.57
"2018-05-28 20:52:00",731.61
"2018-05-28 20:53:00",734.55
"2018-05-28 20:54:00",734.19
"2018-05-28 20:55:00",734.82
"2018-05-28 20:56:00",734.72
"2018-05-28 20:57:00",734.92
"2018-05-28 20:58:00",734.38
"2018-05-28 20:59:00",733.91
"2018-05-28 21:00:00",733.96
"2018-05-28 21:01:00",733.22
"2018-05-28 21:02:00",732.1
"2018-05-28 21:03:00",731.77
"2018-05-28 21:04:00",730.74
"2018-05-28 21:05:00",727.45
"2018-05-28 21:06:00",727.54
"2018-05-28 21:07:00",722.86
"2018-05-28 21:08:00",723.4
"2018-05-28 21:09:00",722.77
"2018-05-28 21:10:00",722.13
"2018-05-28 21:11:00",721.72
"2018-05-28 21:12:00",722.29
"2018-05-28 21:13:00",719.92
"2018-05-28 21:14:00",720.66
"2018-05-28 21:15:00",722.69
"2018-05-28 21:16:00",722.63
"2018-05-28 21:17:00",723.05
"2018-05-28 21:18:00",722.55
"2018-05-28 21:19:00",722.33
"2018-05-28 21:20:00",722.29
"2018-05-28 21:21:00",721.22
"2018-05-28 21:22:00",720.53
"2018-05-28 21:23:00",719.83
"2018-05-28 21:24:00",719.77
"2018-05-28 21:25:00",719.95
"2018-05-28 21:26:00",720.08
"2018-05-28 21:27:00",720.02
"2018-05-28 21:28:00",720.23
"2018-05-28 21:29:00",720.51
"2018-05-28 21:30:00",720.76
"2018-05-28 21:31:00",720.99
"2018-05-28 21:32:00",721.99
"2018-05-28 21:33:00",722.41
"2018-05-28 21:34:00",722.58
"2018-05-28 21:35:00",722.66
"2018-05-28 21:36:00",722.55
"2018-05-28 21:37:00",721.56
"2018-05-28 21:38:00",720.91
"2018-05-28 21:39:00",720.84
"2018-05-28 21:40:00",720.83
"2018-05-28 21:41:00",720.56
"2018-05-28 21:42:00",720.41
"2018-05-28 21:43:00",720.34
"2018-05-28 21:44:00",720.38
"2018-05-28 21:45:00",719.55
"2018-05-28 21:46:00",719.27
"2018-05-28 21:47:00",720.05
"2018-05-28 21:48:00",720.08
"2018-05-28 21:49:00",719.99
"2018-05-28 21:50:00",718.39
"2018-05-28 21:51:00",719.01
"2018-05-28 21:52:00",717.77
"2018-05-28 21:53:00",717.53
"2018-05-28 21:54:00",717.52
"2018-05-28 21:55:00",717.24
"2018-05-28 21:56:00",717.27
"2018-05-28 21:57:00",717.03
"2018-05-28 21:58:00",716.99
"2018-05-28 21:59:00",717.28
"2018-05-28 22:00:00",719.01
"2018-05-28 22:01:00",718.2
"2018-05-28 22:02:00",717.71
"2018-05-28 22:03:00",717.71
"2018-05-28 22:04:00",717.02
"2018-05-28 22:05:00",717.13
"2018-05-28 22:06:00",717.37
"2018-05-28 22:07:00",716.42
"2018-05-28 22:08:00",716.91
"2018-05-28 22:09:00",716.49
"2018-05-28 22:10:00",715.63
"2018-05-28 22:11:00",714.9
"2018-05-28 22:12:00",715.24
"2018-05-28 22:13:00",714.1
"2018-05-28 22:14:00",712.68
"2018-05-28 22:15:00",712.46
"2018-05-28 22:16:00",708.93
"2018-05-28 22:17:00",709.33
"2018-05-28 22:18:00",710.32
"2018-05-28 22:19:00",708.8
"2018-05-28 22:20:00",708.8
"2018-05-28 22:21:00",707.83
"2018-05-28 22:22:00",707.13
"2018-05-28 22:23:00",706.84
"2018-05-28 22:24:00",708.09
"2018-05-28 22:25:00",706.77
"2018-05-28 22:26:00",706.65
"2018-05-28 22:27:00",706.31
"2018-05-28 22:28:00",704.52
"2018-05-28 22:29:00",704.77
"2018-05-28 22:30:00",706.12
"2018-05-28 22:31:00",706.98
"2018-05-28 22:32:00",707.18
"2018-05-28 22:33:00",710.72
"2018-05-28 22:34:00",712.12
"2018-05-28 22:35:00",712.28
"2018-05-28 22:36:00",714.81
"2018-05-28 22:37:00",713.49
"2018-05-28 22:38:00",714.29
"2018-05-28 22:39:00",713.63
"2018-05-28 22:40:00",712.67
"2018-05-28 22:41:00",712.89
"2018-05-28 22:42:00",712.51
"2018-05-28 22:43:00",713.18
"2018-05-28 22:44:00",714.45
"2018-05-28 22:45:00",714.02
"2018-05-28 22:46:00",712.9
"2018-05-28 22:47:00",712.85
"2018-05-28 22:48:00",712.75
"2018-05-28 22:49:00",714.42
"2018-05-28 22:50:00",714.64
"2018-05-28 22:51:00",714.71
"2018-05-28 22:52:00",713.51
"2018-05-28 22:53:00",713.45
"2018-05-28 22:54:00",712.99
"2018-05-28 22:55:00",713.45
"2018-05-28 22:56:00",713.31
"2018-05-28 22:57:00",715.03
"2018-05-28 22:58:00",717.42
"2018-05-28 22:59:00",709.87
"2018-05-28 23:00:00",709.08
"2018-05-28 23:01:00",709.22
"2018-05-28 23:02:00",707.76
"2018-05-28 23:03:00",708.96
"2018-05-28 23:04:00",709.36
"2018-05-28 23:05:00",709.18
"2018-05-28 23:06:00",708.51
"2018-05-28 23:07:00",707.1
"2018-05-28 23:08:00",708.41
"2018-05-28 23:09:00",707.56
