"Index","Close.SNT"
"2018-05-30 15:42:00",
"2018-05-30 15:43:00",
"2018-05-30 15:44:00",0.09457
"2018-05-30 15:45:00",0.09457
"2018-05-30 15:46:00",0.0947
"2018-05-30 15:47:00",0.0947
"2018-05-30 15:48:00",0.0947
"2018-05-30 15:49:00",0.0947
"2018-05-30 15:50:00",0.0947
"2018-05-30 15:51:00",0.0947
"2018-05-30 15:52:00",0.09462
"2018-05-30 15:53:00",0.09462
"2018-05-30 15:54:00",0.09462
"2018-05-30 15:55:00",0.09462
"2018-05-30 15:56:00",0.09462
"2018-05-30 15:57:00",0.09462
"2018-05-30 15:58:00",0.09462
"2018-05-30 15:59:00",0.09462
"2018-05-30 16:00:00",0.09462
"2018-05-30 16:01:00",0.09462
"2018-05-30 16:02:00",0.09462
"2018-05-30 16:03:00",0.09462
"2018-05-30 16:04:00",0.09462
"2018-05-30 16:05:00",0.09462
"2018-05-30 16:06:00",0.09462
"2018-05-30 16:07:00",0.09462
"2018-05-30 16:08:00",0.09462
"2018-05-30 16:09:00",0.09462
"2018-05-30 16:10:00",0.09462
"2018-05-30 16:11:00",0.09462
"2018-05-30 16:12:00",0.09462
"2018-05-30 16:13:00",0.09462
"2018-05-30 16:14:00",0.09462
"2018-05-30 16:15:00",0.09462
"2018-05-30 16:16:00",0.09461
"2018-05-30 16:17:00",0.09461
"2018-05-30 16:18:00",0.09461
"2018-05-30 16:19:00",0.09461
"2018-05-30 16:20:00",0.09461
"2018-05-30 16:21:00",0.09461
"2018-05-30 16:22:00",0.09461
"2018-05-30 16:23:00",0.09461
"2018-05-30 16:24:00",0.09461
"2018-05-30 16:25:00",0.09461
"2018-05-30 16:26:00",0.09461
"2018-05-30 16:27:00",0.09461
"2018-05-30 16:28:00",0.09461
"2018-05-30 16:29:00",0.09461
"2018-05-30 16:30:00",0.09461
"2018-05-30 16:31:00",0.09461
"2018-05-30 16:32:00",0.09461
"2018-05-30 16:33:00",0.09461
"2018-05-30 16:34:00",0.09461
"2018-05-30 16:35:00",0.09461
"2018-05-30 16:36:00",0.09461
"2018-05-30 16:37:00",0.09461
"2018-05-30 16:38:00",0.09461
"2018-05-30 16:39:00",0.09461
"2018-05-30 16:40:00",0.09463
"2018-05-30 16:41:00",0.09443
"2018-05-30 16:42:00",0.09443
"2018-05-30 16:43:00",0.09443
"2018-05-30 16:44:00",0.09443
"2018-05-30 16:45:00",0.09443
"2018-05-30 16:46:00",0.09443
"2018-05-30 16:47:00",0.0946
"2018-05-30 16:48:00",0.09451
"2018-05-30 16:49:00",0.09448
"2018-05-30 16:50:00",0.09453
"2018-05-30 16:51:00",0.09444
"2018-05-30 16:52:00",0.09429
"2018-05-30 16:53:00",0.09427
"2018-05-30 16:54:00",0.09446
"2018-05-30 16:55:00",0.09451
"2018-05-30 16:56:00",0.09446
"2018-05-30 16:57:00",0.09454
"2018-05-30 16:58:00",0.09449
"2018-05-30 16:59:00",0.09449
"2018-05-30 17:00:00",0.09441
"2018-05-30 17:01:00",0.09442
"2018-05-30 17:02:00",0.09446
"2018-05-30 17:03:00",0.09443
"2018-05-30 17:04:00",0.0944
"2018-05-30 17:05:00",0.09429
"2018-05-30 17:06:00",0.09434
"2018-05-30 17:07:00",0.09441
"2018-05-30 17:08:00",0.09426
"2018-05-30 17:09:00",0.0942
"2018-05-30 17:10:00",0.09415
"2018-05-30 17:11:00",0.09431
"2018-05-30 17:12:00",0.09437
"2018-05-30 17:13:00",0.09461
"2018-05-30 17:14:00",0.09449
"2018-05-30 17:15:00",0.09454
"2018-05-30 17:16:00",0.09459
"2018-05-30 17:17:00",0.0946
"2018-05-30 17:18:00",0.0946
"2018-05-30 17:19:00",0.09449
"2018-05-30 17:20:00",0.09447
"2018-05-30 17:21:00",0.09442
"2018-05-30 17:22:00",0.09448
"2018-05-30 17:23:00",0.09455
"2018-05-30 17:24:00",0.09445
"2018-05-30 17:25:00",0.09446
"2018-05-30 17:26:00",0.09445
"2018-05-30 17:27:00",0.09446
"2018-05-30 17:28:00",0.09456
"2018-05-30 17:29:00",0.09462
"2018-05-30 17:30:00",0.09457
"2018-05-30 17:31:00",0.09467
"2018-05-30 17:32:00",0.09457
"2018-05-30 17:33:00",0.0945
"2018-05-30 17:34:00",0.09437
"2018-05-30 17:35:00",0.09431
"2018-05-30 17:36:00",0.09431
"2018-05-30 17:37:00",0.09413
"2018-05-30 17:38:00",0.09409
"2018-05-30 17:39:00",0.09439
"2018-05-30 17:40:00",0.09433
"2018-05-30 17:41:00",0.09435
"2018-05-30 17:42:00",0.0944
"2018-05-30 17:43:00",0.09422
"2018-05-30 17:44:00",0.09439
"2018-05-30 17:45:00",0.09433
"2018-05-30 17:46:00",0.09447
"2018-05-30 17:47:00",0.09442
"2018-05-30 17:48:00",0.09435
"2018-05-30 17:49:00",0.09422
"2018-05-30 17:50:00",0.09431
"2018-05-30 17:51:00",0.09431
"2018-05-30 17:52:00",0.09433
"2018-05-30 17:53:00",0.09418
"2018-05-30 17:54:00",0.09416
"2018-05-30 17:55:00",0.09418
"2018-05-30 17:56:00",0.0941
"2018-05-30 17:57:00",0.09417
"2018-05-30 17:58:00",0.09419
"2018-05-30 17:59:00",0.09423
"2018-05-30 18:00:00",0.09437
"2018-05-30 18:01:00",0.0942
"2018-05-30 18:02:00",0.09421
"2018-05-30 18:03:00",0.09417
"2018-05-30 18:04:00",0.09429
"2018-05-30 18:05:00",0.09431
"2018-05-30 18:06:00",0.09432
"2018-05-30 18:07:00",0.0944
"2018-05-30 18:08:00",0.09448
"2018-05-30 18:09:00",0.09451
"2018-05-30 18:10:00",0.09436
