"Index","Close.XMR"
"2018-05-28 17:34:00",
"2018-05-28 17:35:00",157.18
"2018-05-28 17:36:00",157.1
"2018-05-28 17:37:00",157.08
"2018-05-28 17:38:00",156.95
"2018-05-28 17:39:00",156.92
"2018-05-28 17:40:00",156.82
"2018-05-28 17:41:00",156.71
"2018-05-28 17:42:00",156.7
"2018-05-28 17:43:00",156.62
"2018-05-28 17:44:00",156.69
"2018-05-28 17:45:00",156.64
"2018-05-28 17:46:00",156.77
"2018-05-28 17:47:00",156.67
"2018-05-28 17:48:00",156.63
"2018-05-28 17:49:00",156.51
"2018-05-28 17:50:00",156.58
"2018-05-28 17:51:00",156.72
"2018-05-28 17:52:00",156.78
"2018-05-28 17:53:00",156.78
"2018-05-28 17:54:00",156.72
"2018-05-28 17:55:00",156.87
"2018-05-28 17:56:00",156.85
"2018-05-28 17:57:00",156.78
"2018-05-28 17:58:00",156.71
"2018-05-28 17:59:00",156.61
"2018-05-28 18:00:00",156.67
"2018-05-28 18:01:00",156.83
"2018-05-28 18:02:00",156.75
"2018-05-28 18:03:00",156.73
"2018-05-28 18:04:00",156.75
"2018-05-28 18:05:00",156.76
"2018-05-28 18:06:00",156.94
"2018-05-28 18:07:00",156.74
"2018-05-28 18:08:00",156.69
"2018-05-28 18:09:00",156.53
"2018-05-28 18:10:00",156.59
"2018-05-28 18:11:00",156.66
"2018-05-28 18:12:00",156.75
"2018-05-28 18:13:00",156.64
"2018-05-28 18:14:00",156.72
"2018-05-28 18:15:00",156.76
"2018-05-28 18:16:00",156.76
"2018-05-28 18:17:00",156.66
"2018-05-28 18:18:00",156.72
"2018-05-28 18:19:00",156.76
"2018-05-28 18:20:00",156.71
"2018-05-28 18:21:00",156.8
"2018-05-28 18:22:00",156.82
"2018-05-28 18:23:00",156.6
"2018-05-28 18:24:00",156.56
"2018-05-28 18:25:00",156.67
"2018-05-28 18:26:00",156.82
"2018-05-28 18:27:00",156.76
"2018-05-28 18:28:00",156.68
"2018-05-28 18:29:00",156.74
"2018-05-28 18:30:00",156.86
"2018-05-28 18:31:00",156.81
"2018-05-28 18:32:00",156.79
"2018-05-28 18:33:00",156.76
"2018-05-28 18:34:00",156.76
"2018-05-28 18:35:00",156.69
"2018-05-28 18:36:00",156.71
"2018-05-28 18:37:00",156.68
"2018-05-28 18:38:00",156.6
"2018-05-28 18:39:00",156.79
"2018-05-28 18:40:00",156.69
"2018-05-28 18:41:00",156.72
"2018-05-28 18:42:00",156.72
"2018-05-28 18:43:00",156.54
"2018-05-28 18:44:00",156.57
"2018-05-28 18:45:00",156.38
"2018-05-28 18:46:00",156.46
"2018-05-28 18:47:00",156.51
"2018-05-28 18:48:00",156.65
"2018-05-28 18:49:00",156.68
"2018-05-28 18:50:00",156.69
"2018-05-28 18:51:00",156.69
"2018-05-28 18:52:00",156.75
"2018-05-28 18:53:00",156.59
"2018-05-28 18:54:00",156.51
"2018-05-28 18:55:00",156.48
"2018-05-28 18:56:00",156.76
"2018-05-28 18:57:00",156.76
"2018-05-28 18:58:00",156.48
"2018-05-28 18:59:00",156.53
"2018-05-28 19:00:00",156.48
"2018-05-28 19:01:00",156.32
"2018-05-28 19:02:00",156.32
"2018-05-28 19:03:00",156.22
"2018-05-28 19:04:00",156.43
"2018-05-28 19:05:00",156.45
"2018-05-28 19:06:00",156.56
"2018-05-28 19:07:00",156.36
"2018-05-28 19:08:00",156.42
"2018-05-28 19:09:00",156.35
"2018-05-28 19:10:00",156.41
"2018-05-28 19:11:00",156.28
"2018-05-28 19:12:00",156.17
"2018-05-28 19:13:00",156.49
"2018-05-28 19:14:00",156.66
"2018-05-28 19:15:00",156.62
"2018-05-28 19:16:00",156.71
"2018-05-28 19:17:00",156.61
"2018-05-28 19:18:00",156.58
"2018-05-28 19:19:00",156.49
"2018-05-28 19:20:00",156.57
"2018-05-28 19:21:00",156.46
"2018-05-28 19:22:00",156.49
"2018-05-28 19:23:00",156.44
"2018-05-28 19:24:00",156.21
"2018-05-28 19:25:00",156.23
"2018-05-28 19:26:00",156.21
"2018-05-28 19:27:00",156.12
"2018-05-28 19:28:00",156.12
"2018-05-28 19:29:00",156.12
"2018-05-28 19:30:00",156.08
"2018-05-28 19:31:00",156.26
"2018-05-28 19:32:00",156.16
"2018-05-28 19:33:00",156.07
"2018-05-28 19:34:00",155.96
"2018-05-28 19:35:00",156.01
"2018-05-28 19:36:00",156.04
"2018-05-28 19:37:00",156.03
"2018-05-28 19:38:00",156.11
"2018-05-28 19:39:00",156.01
"2018-05-28 19:40:00",156.1
"2018-05-28 19:41:00",156.04
"2018-05-28 19:42:00",156.24
"2018-05-28 19:43:00",156.24
"2018-05-28 19:44:00",156.37
"2018-05-28 19:45:00",156.3
"2018-05-28 19:46:00",156.34
"2018-05-28 19:47:00",156.4
"2018-05-28 19:48:00",156.46
"2018-05-28 19:49:00",156.38
"2018-05-28 19:50:00",156.3
"2018-05-28 19:51:00",156.31
"2018-05-28 19:52:00",156.15
"2018-05-28 19:53:00",156.18
"2018-05-28 19:54:00",156.41
"2018-05-28 19:55:00",156.39
"2018-05-28 19:56:00",156.58
"2018-05-28 19:57:00",156.62
"2018-05-28 19:58:00",156.49
"2018-05-28 19:59:00",156.51
"2018-05-28 20:00:00",156.46
"2018-05-28 20:01:00",156.48
"2018-05-28 20:02:00",156.27
"2018-05-28 20:03:00",156.12
"2018-05-28 20:04:00",156.11
"2018-05-28 20:05:00",156.15
"2018-05-28 20:06:00",156.12
"2018-05-28 20:07:00",156.1
"2018-05-28 20:08:00",156.11
"2018-05-28 20:09:00",156.09
"2018-05-28 20:10:00",156.15
"2018-05-28 20:11:00",156.07
"2018-05-28 20:12:00",156.07
"2018-05-28 20:13:00",156.18
"2018-05-28 20:14:00",156.19
"2018-05-28 20:15:00",156.19
"2018-05-28 20:16:00",156.08
"2018-05-28 20:17:00",156.11
"2018-05-28 20:18:00",156.07
"2018-05-28 20:19:00",156.15
"2018-05-28 20:20:00",156.11
"2018-05-28 20:21:00",156.18
"2018-05-28 20:22:00",156.17
"2018-05-28 20:23:00",156.17
"2018-05-28 20:24:00",156.17
"2018-05-28 20:25:00",156.41
"2018-05-28 20:26:00",156.44
"2018-05-28 20:27:00",156.43
"2018-05-28 20:28:00",156.47
"2018-05-28 20:29:00",156.44
"2018-05-28 20:30:00",156.37
"2018-05-28 20:31:00",156.32
"2018-05-28 20:32:00",156.32
