"Index","Close.XRP"
"2018-05-28 17:34:00",0.5731
"2018-05-28 17:35:00",0.5731
"2018-05-28 17:36:00",0.5732
"2018-05-28 17:37:00",0.5733
"2018-05-28 17:38:00",0.5732
"2018-05-28 17:39:00",0.5732
"2018-05-28 17:40:00",0.5735
"2018-05-28 17:41:00",0.5728
"2018-05-28 17:42:00",0.5729
"2018-05-28 17:43:00",0.5731
"2018-05-28 17:44:00",0.5712
"2018-05-28 17:45:00",0.5719
"2018-05-28 17:46:00",0.5719
"2018-05-28 17:47:00",0.5713
"2018-05-28 17:48:00",0.5717
"2018-05-28 17:49:00",0.5719
"2018-05-28 17:50:00",0.5718
"2018-05-28 17:51:00",0.5721
"2018-05-28 17:52:00",0.5723
"2018-05-28 17:53:00",0.5725
"2018-05-28 17:54:00",0.5722
"2018-05-28 17:55:00",0.5722
"2018-05-28 17:56:00",0.5722
"2018-05-28 17:57:00",0.5718
"2018-05-28 17:58:00",0.5724
"2018-05-28 17:59:00",0.5723
"2018-05-28 18:00:00",0.573
"2018-05-28 18:01:00",0.5731
"2018-05-28 18:02:00",0.5732
"2018-05-28 18:03:00",0.5732
"2018-05-28 18:04:00",0.5731
"2018-05-28 18:05:00",0.5732
"2018-05-28 18:06:00",0.5732
"2018-05-28 18:07:00",0.5721
"2018-05-28 18:08:00",0.5709
"2018-05-28 18:09:00",0.5709
"2018-05-28 18:10:00",0.5708
"2018-05-28 18:11:00",0.5719
"2018-05-28 18:12:00",0.5707
"2018-05-28 18:13:00",0.5708
"2018-05-28 18:14:00",0.5708
"2018-05-28 18:15:00",0.5707
"2018-05-28 18:16:00",0.5709
"2018-05-28 18:17:00",0.5715
"2018-05-28 18:18:00",0.5713
"2018-05-28 18:19:00",0.5716
"2018-05-28 18:20:00",0.572
"2018-05-28 18:21:00",0.5718
"2018-05-28 18:22:00",0.5718
"2018-05-28 18:23:00",0.5716
"2018-05-28 18:24:00",0.5709
"2018-05-28 18:25:00",0.5713
"2018-05-28 18:26:00",0.571
"2018-05-28 18:27:00",0.571
"2018-05-28 18:28:00",0.5709
"2018-05-28 18:29:00",0.5713
"2018-05-28 18:30:00",0.5714
"2018-05-28 18:31:00",0.5711
"2018-05-28 18:32:00",0.5709
"2018-05-28 18:33:00",0.5702
"2018-05-28 18:34:00",0.5707
"2018-05-28 18:35:00",0.5716
"2018-05-28 18:36:00",0.573
"2018-05-28 18:37:00",0.5726
"2018-05-28 18:38:00",0.5723
"2018-05-28 18:39:00",0.572
"2018-05-28 18:40:00",0.5721
"2018-05-28 18:41:00",0.5721
"2018-05-28 18:42:00",0.5714
"2018-05-28 18:43:00",0.5696
"2018-05-28 18:44:00",0.57
"2018-05-28 18:45:00",0.57
"2018-05-28 18:46:00",0.5703
"2018-05-28 18:47:00",0.5702
"2018-05-28 18:48:00",0.5706
"2018-05-28 18:49:00",0.5706
"2018-05-28 18:50:00",0.5703
"2018-05-28 18:51:00",0.5707
"2018-05-28 18:52:00",0.5705
"2018-05-28 18:53:00",0.5706
"2018-05-28 18:54:00",0.5708
"2018-05-28 18:55:00",0.5709
"2018-05-28 18:56:00",0.571
"2018-05-28 18:57:00",0.571
"2018-05-28 18:58:00",0.57
"2018-05-28 18:59:00",0.5698
"2018-05-28 19:00:00",0.5698
"2018-05-28 19:01:00",0.5696
"2018-05-28 19:02:00",0.5695
"2018-05-28 19:03:00",0.5694
"2018-05-28 19:04:00",0.5699
"2018-05-28 19:05:00",0.5702
"2018-05-28 19:06:00",0.5706
"2018-05-28 19:07:00",0.5707
"2018-05-28 19:08:00",0.5707
"2018-05-28 19:09:00",0.5709
"2018-05-28 19:10:00",0.5697
"2018-05-28 19:11:00",0.5696
"2018-05-28 19:12:00",0.5696
"2018-05-28 19:13:00",0.5696
"2018-05-28 19:14:00",0.5696
"2018-05-28 19:15:00",0.5696
"2018-05-28 19:16:00",0.5697
"2018-05-28 19:17:00",0.5697
"2018-05-28 19:18:00",0.5697
"2018-05-28 19:19:00",0.5697
"2018-05-28 19:20:00",0.5703
"2018-05-28 19:21:00",0.5703
"2018-05-28 19:22:00",0.57
"2018-05-28 19:23:00",0.57
"2018-05-28 19:24:00",0.57
"2018-05-28 19:25:00",0.5695
"2018-05-28 19:26:00",0.5696
"2018-05-28 19:27:00",0.5696
"2018-05-28 19:28:00",0.5696
"2018-05-28 19:29:00",0.5696
"2018-05-28 19:30:00",0.5697
"2018-05-28 19:31:00",0.5705
"2018-05-28 19:32:00",0.5705
"2018-05-28 19:33:00",0.5711
"2018-05-28 19:34:00",0.5712
"2018-05-28 19:35:00",0.5714
"2018-05-28 19:36:00",0.5726
"2018-05-28 19:37:00",0.5731
"2018-05-28 19:38:00",0.5731
"2018-05-28 19:39:00",0.5731
"2018-05-28 19:40:00",0.573
"2018-05-28 19:41:00",0.573
"2018-05-28 19:42:00",0.5732
"2018-05-28 19:43:00",0.5732
"2018-05-28 19:44:00",0.5732
"2018-05-28 19:45:00",0.5742
"2018-05-28 19:46:00",0.573
"2018-05-28 19:47:00",0.5732
"2018-05-28 19:48:00",0.5734
"2018-05-28 19:49:00",0.5722
"2018-05-28 19:50:00",0.5728
"2018-05-28 19:51:00",0.573
"2018-05-28 19:52:00",0.573
"2018-05-28 19:53:00",0.573
"2018-05-28 19:54:00",0.5725
"2018-05-28 19:55:00",0.5725
"2018-05-28 19:56:00",0.5732
"2018-05-28 19:57:00",0.572
"2018-05-28 19:58:00",0.5707
"2018-05-28 19:59:00",0.5712
"2018-05-28 20:00:00",0.572
"2018-05-28 20:01:00",0.5713
"2018-05-28 20:02:00",0.5716
"2018-05-28 20:03:00",0.5716
"2018-05-28 20:04:00",0.5715
"2018-05-28 20:05:00",0.5725
"2018-05-28 20:06:00",0.5717
"2018-05-28 20:07:00",0.5724
"2018-05-28 20:08:00",0.5722
"2018-05-28 20:09:00",0.5726
"2018-05-28 20:10:00",0.5727
"2018-05-28 20:11:00",0.5728
"2018-05-28 20:12:00",0.5728
"2018-05-28 20:13:00",0.5728
"2018-05-28 20:14:00",0.5732
"2018-05-28 20:15:00",0.5722
"2018-05-28 20:16:00",0.5715
"2018-05-28 20:17:00",0.5717
"2018-05-28 20:18:00",0.5708
"2018-05-28 20:19:00",0.5704
"2018-05-28 20:20:00",0.5705
"2018-05-28 20:21:00",0.5712
"2018-05-28 20:22:00",0.5714
"2018-05-28 20:23:00",0.5714
"2018-05-28 20:24:00",0.5714
"2018-05-28 20:25:00",0.5715
"2018-05-28 20:26:00",0.5722
"2018-05-28 20:27:00",0.5718
"2018-05-28 20:28:00",0.5718
"2018-05-28 20:29:00",0.5718
"2018-05-28 20:30:00",0.5716
"2018-05-28 20:31:00",0.5717
"2018-05-28 20:32:00",0.5717
"2018-05-28 20:33:00",0.5716
"2018-05-28 20:34:00",0.5716
"2018-05-28 20:35:00",0.5717
"2018-05-28 20:36:00",0.5719
"2018-05-28 20:37:00",0.5718
"2018-05-28 20:38:00",0.5718
"2018-05-28 20:39:00",0.5717
"2018-05-28 20:40:00",0.5717
"2018-05-28 20:41:00",0.5719
"2018-05-28 20:42:00",0.5722
"2018-05-28 20:43:00",0.572
"2018-05-28 20:44:00",0.5721
"2018-05-28 20:45:00",0.5721
"2018-05-28 20:46:00",0.5721
"2018-05-28 20:47:00",0.5706
"2018-05-28 20:48:00",0.5705
"2018-05-28 20:49:00",0.5706
"2018-05-28 20:50:00",0.5701
"2018-05-28 20:51:00",0.5701
"2018-05-28 20:52:00",0.5691
