"Index","Close.LTC"
"2018-05-28 17:34:00",113.68
"2018-05-28 17:35:00",113.73
"2018-05-28 17:36:00",113.7
"2018-05-28 17:37:00",113.69
"2018-05-28 17:38:00",113.66
"2018-05-28 17:39:00",113.59
"2018-05-28 17:40:00",113.6
"2018-05-28 17:41:00",113.55
"2018-05-28 17:42:00",113.46
"2018-05-28 17:43:00",113.46
"2018-05-28 17:44:00",113.53
"2018-05-28 17:45:00",113.54
"2018-05-28 17:46:00",113.5
"2018-05-28 17:47:00",113.5
"2018-05-28 17:48:00",113.53
"2018-05-28 17:49:00",113.6
"2018-05-28 17:50:00",113.67
"2018-05-28 17:51:00",113.69
"2018-05-28 17:52:00",113.78
"2018-05-28 17:53:00",113.67
"2018-05-28 17:54:00",113.73
"2018-05-28 17:55:00",113.72
"2018-05-28 17:56:00",113.64
"2018-05-28 17:57:00",113.66
"2018-05-28 17:58:00",113.68
"2018-05-28 17:59:00",113.76
"2018-05-28 18:00:00",113.71
"2018-05-28 18:01:00",113.79
"2018-05-28 18:02:00",113.85
"2018-05-28 18:03:00",113.84
"2018-05-28 18:04:00",113.76
"2018-05-28 18:05:00",113.88
"2018-05-28 18:06:00",113.9
"2018-05-28 18:07:00",113.87
"2018-05-28 18:08:00",113.74
"2018-05-28 18:09:00",113.68
"2018-05-28 18:10:00",113.73
"2018-05-28 18:11:00",113.79
"2018-05-28 18:12:00",113.77
"2018-05-28 18:13:00",113.76
"2018-05-28 18:14:00",113.77
"2018-05-28 18:15:00",113.76
"2018-05-28 18:16:00",113.78
"2018-05-28 18:17:00",113.85
"2018-05-28 18:18:00",113.77
"2018-05-28 18:19:00",113.78
"2018-05-28 18:20:00",113.8
"2018-05-28 18:21:00",113.83
"2018-05-28 18:22:00",113.8
"2018-05-28 18:23:00",113.85
"2018-05-28 18:24:00",113.86
"2018-05-28 18:25:00",113.78
"2018-05-28 18:26:00",113.84
"2018-05-28 18:27:00",113.87
"2018-05-28 18:28:00",113.91
"2018-05-28 18:29:00",113.93
"2018-05-28 18:30:00",113.92
"2018-05-28 18:31:00",113.91
"2018-05-28 18:32:00",113.93
"2018-05-28 18:33:00",113.94
"2018-05-28 18:34:00",113.94
"2018-05-28 18:35:00",114.04
"2018-05-28 18:36:00",114.11
"2018-05-28 18:37:00",114.27
"2018-05-28 18:38:00",114.14
"2018-05-28 18:39:00",114.15
"2018-05-28 18:40:00",114.11
"2018-05-28 18:41:00",114.14
"2018-05-28 18:42:00",114.17
"2018-05-28 18:43:00",113.82
"2018-05-28 18:44:00",113.89
"2018-05-28 18:45:00",113.93
"2018-05-28 18:46:00",113.85
"2018-05-28 18:47:00",113.89
"2018-05-28 18:48:00",113.85
"2018-05-28 18:49:00",113.88
"2018-05-28 18:50:00",113.97
"2018-05-28 18:51:00",113.99
"2018-05-28 18:52:00",113.97
"2018-05-28 18:53:00",113.96
"2018-05-28 18:54:00",113.96
"2018-05-28 18:55:00",113.95
"2018-05-28 18:56:00",113.93
"2018-05-28 18:57:00",113.94
"2018-05-28 18:58:00",113.89
"2018-05-28 18:59:00",113.81
"2018-05-28 19:00:00",113.8
"2018-05-28 19:01:00",113.72
"2018-05-28 19:02:00",113.73
"2018-05-28 19:03:00",113.73
"2018-05-28 19:04:00",113.75
"2018-05-28 19:05:00",113.93
"2018-05-28 19:06:00",113.98
"2018-05-28 19:07:00",114.02
"2018-05-28 19:08:00",114.03
"2018-05-28 19:09:00",114.06
"2018-05-28 19:10:00",114.09
"2018-05-28 19:11:00",114
"2018-05-28 19:12:00",113.96
"2018-05-28 19:13:00",114.06
"2018-05-28 19:14:00",114.03
"2018-05-28 19:15:00",114.04
"2018-05-28 19:16:00",114.05
"2018-05-28 19:17:00",113.97
"2018-05-28 19:18:00",113.98
"2018-05-28 19:19:00",113.9
"2018-05-28 19:20:00",113.88
"2018-05-28 19:21:00",113.93
"2018-05-28 19:22:00",113.91
"2018-05-28 19:23:00",113.89
"2018-05-28 19:24:00",113.8
"2018-05-28 19:25:00",113.82
"2018-05-28 19:26:00",113.82
"2018-05-28 19:27:00",113.79
"2018-05-28 19:28:00",113.83
"2018-05-28 19:29:00",113.83
"2018-05-28 19:30:00",113.86
"2018-05-28 19:31:00",113.86
"2018-05-28 19:32:00",113.92
"2018-05-28 19:33:00",113.93
"2018-05-28 19:34:00",113.97
"2018-05-28 19:35:00",114.01
"2018-05-28 19:36:00",114.02
"2018-05-28 19:37:00",114.23
"2018-05-28 19:38:00",114.24
"2018-05-28 19:39:00",114.09
"2018-05-28 19:40:00",114.14
"2018-05-28 19:41:00",114.13
"2018-05-28 19:42:00",114.21
"2018-05-28 19:43:00",114.21
"2018-05-28 19:44:00",114.2
"2018-05-28 19:45:00",114.28
"2018-05-28 19:46:00",114.2
"2018-05-28 19:47:00",114.16
"2018-05-28 19:48:00",114.09
"2018-05-28 19:49:00",114.07
"2018-05-28 19:50:00",114.07
"2018-05-28 19:51:00",114.16
"2018-05-28 19:52:00",114.02
"2018-05-28 19:53:00",114.07
"2018-05-28 19:54:00",114.15
"2018-05-28 19:55:00",114.28
"2018-05-28 19:56:00",114.3
"2018-05-28 19:57:00",114.29
"2018-05-28 19:58:00",114.14
"2018-05-28 19:59:00",114.03
"2018-05-28 20:00:00",114.07
"2018-05-28 20:01:00",114.07
"2018-05-28 20:02:00",114.07
"2018-05-28 20:03:00",114.03
"2018-05-28 20:04:00",114.04
"2018-05-28 20:05:00",114.08
"2018-05-28 20:06:00",114.01
"2018-05-28 20:07:00",113.96
"2018-05-28 20:08:00",113.97
"2018-05-28 20:09:00",113.98
"2018-05-28 20:10:00",113.96
"2018-05-28 20:11:00",113.95
"2018-05-28 20:12:00",113.94
"2018-05-28 20:13:00",113.94
"2018-05-28 20:14:00",113.98
"2018-05-28 20:15:00",113.9
"2018-05-28 20:16:00",113.85
"2018-05-28 20:17:00",113.85
"2018-05-28 20:18:00",113.88
"2018-05-28 20:19:00",113.84
"2018-05-28 20:20:00",113.88
"2018-05-28 20:21:00",113.87
"2018-05-28 20:22:00",113.88
"2018-05-28 20:23:00",113.9
"2018-05-28 20:24:00",113.93
"2018-05-28 20:25:00",113.92
"2018-05-28 20:26:00",113.92
"2018-05-28 20:27:00",113.93
"2018-05-28 20:28:00",113.96
"2018-05-28 20:29:00",113.9
"2018-05-28 20:30:00",113.98
"2018-05-28 20:31:00",113.95
"2018-05-28 20:32:00",113.94
"2018-05-28 20:33:00",113.96
"2018-05-28 20:34:00",113.95
"2018-05-28 20:35:00",113.97
"2018-05-28 20:36:00",113.92
"2018-05-28 20:37:00",113.93
"2018-05-28 20:38:00",113.93
"2018-05-28 20:39:00",113.96
"2018-05-28 20:40:00",113.93
"2018-05-28 20:41:00",113.87
"2018-05-28 20:42:00",113.89
"2018-05-28 20:43:00",113.89
"2018-05-28 20:44:00",113.85
"2018-05-28 20:45:00",113.81
"2018-05-28 20:46:00",113.85
"2018-05-28 20:47:00",113.78
"2018-05-28 20:48:00",113.76
"2018-05-28 20:49:00",113.75
"2018-05-28 20:50:00",113.7
"2018-05-28 20:51:00",113.63
"2018-05-28 20:52:00",113.48
"2018-05-28 20:53:00",113.74
"2018-05-28 20:54:00",113.47
"2018-05-28 20:55:00",113.59
"2018-05-28 20:56:00",113.6
"2018-05-28 20:57:00",113.61
"2018-05-28 20:58:00",113.5
"2018-05-28 20:59:00",113.48
"2018-05-28 21:00:00",113.42
"2018-05-28 21:01:00",113.26
"2018-05-28 21:02:00",113.38
"2018-05-28 21:03:00",113.23
"2018-05-28 21:04:00",113.32
"2018-05-28 21:05:00",113.27
"2018-05-28 21:06:00",112.86
"2018-05-28 21:07:00",112.68
"2018-05-28 21:08:00",112.67
"2018-05-28 21:09:00",112.6
"2018-05-28 21:10:00",112.55
"2018-05-28 21:11:00",112.5
"2018-05-28 21:12:00",112.56
"2018-05-28 21:13:00",112.56
"2018-05-28 21:14:00",112.59
"2018-05-28 21:15:00",112.78
"2018-05-28 21:16:00",112.86
"2018-05-28 21:17:00",113.09
"2018-05-28 21:18:00",113
"2018-05-28 21:19:00",112.95
"2018-05-28 21:20:00",112.98
"2018-05-28 21:21:00",112.84
"2018-05-28 21:22:00",112.88
"2018-05-28 21:23:00",112.87
"2018-05-28 21:24:00",112.77
"2018-05-28 21:25:00",112.66
"2018-05-28 21:26:00",112.65
"2018-05-28 21:27:00",112.7
"2018-05-28 21:28:00",112.73
"2018-05-28 21:29:00",112.9
"2018-05-28 21:30:00",112.81
"2018-05-28 21:31:00",112.84
"2018-05-28 21:32:00",112.82
"2018-05-28 21:33:00",112.7
"2018-05-28 21:34:00",112.83
"2018-05-28 21:35:00",112.92
"2018-05-28 21:36:00",112.93
"2018-05-28 21:37:00",112.87
"2018-05-28 21:38:00",112.87
"2018-05-28 21:39:00",112.87
"2018-05-28 21:40:00",112.83
"2018-05-28 21:41:00",112.8
"2018-05-28 21:42:00",112.85
"2018-05-28 21:43:00",112.85
"2018-05-28 21:44:00",112.9
"2018-05-28 21:45:00",112.78
"2018-05-28 21:46:00",112.83
"2018-05-28 21:47:00",112.73
"2018-05-28 21:48:00",112.81
"2018-05-28 21:49:00",112.81
"2018-05-28 21:50:00",112.75
