"Index","Close.ZEC"
"2018-05-28 17:34:00",
"2018-05-28 17:35:00",240.65
"2018-05-28 17:36:00",240.69
"2018-05-28 17:37:00",240.75
"2018-05-28 17:38:00",240.96
"2018-05-28 17:39:00",240.62
"2018-05-28 17:40:00",241.02
"2018-05-28 17:41:00",241.05
"2018-05-28 17:42:00",241.05
"2018-05-28 17:43:00",240.99
"2018-05-28 17:44:00",240.97
"2018-05-28 17:45:00",241.05
"2018-05-28 17:46:00",241.71
"2018-05-28 17:47:00",241.48
"2018-05-28 17:48:00",241.83
"2018-05-28 17:49:00",241.74
"2018-05-28 17:50:00",241.89
"2018-05-28 17:51:00",241.92
"2018-05-28 17:52:00",242.41
"2018-05-28 17:53:00",242.61
"2018-05-28 17:54:00",242.78
"2018-05-28 17:55:00",242.29
"2018-05-28 17:56:00",242.24
"2018-05-28 17:57:00",242.11
"2018-05-28 17:58:00",242.03
"2018-05-28 17:59:00",242.24
"2018-05-28 18:00:00",242.04
"2018-05-28 18:01:00",242.1
"2018-05-28 18:02:00",242.11
"2018-05-28 18:03:00",242.24
"2018-05-28 18:04:00",242.21
"2018-05-28 18:05:00",242.26
"2018-05-28 18:06:00",242.16
"2018-05-28 18:07:00",242.15
"2018-05-28 18:08:00",242.14
"2018-05-28 18:09:00",241.87
"2018-05-28 18:10:00",241.76
"2018-05-28 18:11:00",241.69
"2018-05-28 18:12:00",241.69
"2018-05-28 18:13:00",241.78
"2018-05-28 18:14:00",241.63
"2018-05-28 18:15:00",241.54
"2018-05-28 18:16:00",241.51
"2018-05-28 18:17:00",241.58
"2018-05-28 18:18:00",241.55
"2018-05-28 18:19:00",241.5
"2018-05-28 18:20:00",241.59
"2018-05-28 18:21:00",241.52
"2018-05-28 18:22:00",241.67
"2018-05-28 18:23:00",241.68
"2018-05-28 18:24:00",241.44
"2018-05-28 18:25:00",241.62
"2018-05-28 18:26:00",241.63
"2018-05-28 18:27:00",241.67
"2018-05-28 18:28:00",241.23
"2018-05-28 18:29:00",241.33
"2018-05-28 18:30:00",241.33
"2018-05-28 18:31:00",241.21
"2018-05-28 18:32:00",241.18
"2018-05-28 18:33:00",241.2
"2018-05-28 18:34:00",241.21
"2018-05-28 18:35:00",241.17
