"Index","Close.GAS"
"2018-03-28 04:00:00",18.83
"2018-03-28 05:00:00",18.9
"2018-03-28 06:00:00",19
"2018-03-28 07:00:00",18.94
"2018-03-28 08:00:00",18.95
"2018-03-28 09:00:00",19.46
"2018-03-28 10:00:00",19.58
"2018-03-28 11:00:00",19.61
"2018-03-28 12:00:00",19.77
"2018-03-28 13:00:00",19.82
"2018-03-28 14:00:00",18.78
"2018-03-28 15:00:00",18.57
"2018-03-28 16:00:00",18.64
"2018-03-28 17:00:00",18.87
"2018-03-28 18:00:00",18.76
"2018-03-28 19:00:00",18.8
"2018-03-28 20:00:00",18.75
"2018-03-28 21:00:00",18.9
"2018-03-28 22:00:00",18.88
"2018-03-28 23:00:00",18.86
"2018-03-29 00:00:00",18.87
"2018-03-29 01:00:00",18.69
"2018-03-29 02:00:00",18.66
"2018-03-29 03:00:00",18.39
"2018-03-29 04:00:00",17.71
"2018-03-29 05:00:00",17.59
"2018-03-29 06:00:00",17.55
"2018-03-29 07:00:00",17.36
"2018-03-29 08:00:00",17.28
"2018-03-29 09:00:00",17.38
"2018-03-29 10:00:00",17.11
"2018-03-29 11:00:00",17
"2018-03-29 12:00:00",16.93
"2018-03-29 13:00:00",16.86
"2018-03-29 14:00:00",16.78
"2018-03-29 15:00:00",16.94
"2018-03-29 16:00:00",17.55
"2018-03-29 17:00:00",17.12
"2018-03-29 18:00:00",17.11
"2018-03-29 19:00:00",16.87
"2018-03-29 20:00:00",16.3
"2018-03-29 21:00:00",16.52
"2018-03-29 22:00:00",16.95
"2018-03-29 23:00:00",16.68
"2018-03-30 00:00:00",15.98
"2018-03-30 01:00:00",15.82
"2018-03-30 02:00:00",15.61
"2018-03-30 03:00:00",16.01
"2018-03-30 04:00:00",15.65
"2018-03-30 05:00:00",16.59
"2018-03-30 06:00:00",16.08
"2018-03-30 07:00:00",16.61
"2018-03-30 08:00:00",16.41
"2018-03-30 09:00:00",16.03
"2018-03-30 10:00:00",15.62
"2018-03-30 11:00:00",15.8
"2018-03-30 12:00:00",16.05
"2018-03-30 13:00:00",15.72
"2018-03-30 14:00:00",15.67
"2018-03-30 15:00:00",15.6
"2018-03-30 16:00:00",15.47
"2018-03-30 17:00:00",15.46
"2018-03-30 18:00:00",15.63
"2018-03-30 19:00:00",15.86
"2018-03-30 20:00:00",15.89
"2018-03-30 21:00:00",16.13
"2018-03-30 22:00:00",15.74
"2018-03-30 23:00:00",15.83
"2018-03-31 00:00:00",16.39
"2018-03-31 01:00:00",16.6
"2018-03-31 02:00:00",16.61
"2018-03-31 03:00:00",16.23
"2018-03-31 04:00:00",16.42
"2018-03-31 05:00:00",16.05
"2018-03-31 06:00:00",15.87
"2018-03-31 07:00:00",15.82
"2018-03-31 08:00:00",16.02
"2018-03-31 09:00:00",16.19
"2018-03-31 10:00:00",16.44
"2018-03-31 11:00:00",16.39
"2018-03-31 12:00:00",16.5
"2018-03-31 13:00:00",16.05
"2018-03-31 14:00:00",16.15
"2018-03-31 15:00:00",16.13
"2018-03-31 16:00:00",16.42
"2018-03-31 17:00:00",16.35
"2018-03-31 18:00:00",16.03
"2018-03-31 19:00:00",16.04
"2018-03-31 20:00:00",15.72
"2018-03-31 21:00:00",15.79
"2018-03-31 22:00:00",15.84
"2018-03-31 23:00:00",15.78
"2018-04-01 00:00:00",15.88
"2018-04-01 01:00:00",16.11
"2018-04-01 02:00:00",15.9
"2018-04-01 03:00:00",15.6
"2018-04-01 04:00:00",15.59
"2018-04-01 05:00:00",15.53
"2018-04-01 06:00:00",15.35
"2018-04-01 07:00:00",15.08
"2018-04-01 08:00:00",15.11
"2018-04-01 09:00:00",15.21
"2018-04-01 10:00:00",15.08
"2018-04-01 11:00:00",15
"2018-04-01 12:00:00",14.89
"2018-04-01 13:00:00",14.58
"2018-04-01 14:00:00",14.44
"2018-04-01 15:00:00",14.29
"2018-04-01 16:00:00",15.3
"2018-04-01 17:00:00",15.47
"2018-04-01 18:00:00",15.25
"2018-04-01 19:00:00",15.42
"2018-04-01 20:00:00",15.44
"2018-04-01 21:00:00",15.27
"2018-04-01 22:00:00",15.31
