"Index","Close.DCR"
"2018-05-28 17:34:00",
"2018-05-28 17:35:00",87.88
"2018-05-28 17:36:00",87.88
"2018-05-28 17:37:00",87.89
"2018-05-28 17:38:00",87.86
"2018-05-28 17:39:00",87.84
"2018-05-28 17:40:00",87.91
"2018-05-28 17:41:00",87.84
"2018-05-28 17:42:00",87.83
"2018-05-28 17:43:00",87.97
"2018-05-28 17:44:00",87.96
"2018-05-28 17:45:00",87.81
"2018-05-28 17:46:00",87.86
"2018-05-28 17:47:00",87.87
"2018-05-28 17:48:00",87.88
"2018-05-28 17:49:00",87.88
"2018-05-28 17:50:00",87.86
"2018-05-28 17:51:00",87.86
"2018-05-28 17:52:00",87.9
"2018-05-28 17:53:00",87.98
"2018-05-28 17:54:00",87.77
"2018-05-28 17:55:00",88.12
"2018-05-28 17:56:00",89.58
"2018-05-28 17:57:00",89.65
"2018-05-28 17:58:00",89.66
"2018-05-28 17:59:00",89.79
"2018-05-28 18:00:00",90.4
"2018-05-28 18:01:00",90.48
"2018-05-28 18:02:00",90.57
"2018-05-28 18:03:00",91.38
"2018-05-28 18:04:00",90.72
"2018-05-28 18:05:00",90.79
"2018-05-28 18:06:00",93.81
"2018-05-28 18:07:00",94.09
"2018-05-28 18:08:00",93.93
"2018-05-28 18:09:00",93.45
"2018-05-28 18:10:00",92.9
"2018-05-28 18:11:00",92.95
"2018-05-28 18:12:00",92.98
"2018-05-28 18:13:00",92.98
"2018-05-28 18:14:00",92.94
"2018-05-28 18:15:00",93.3
"2018-05-28 18:16:00",93.3
"2018-05-28 18:17:00",93.11
"2018-05-28 18:18:00",93.62
"2018-05-28 18:19:00",93.03
"2018-05-28 18:20:00",93.76
"2018-05-28 18:21:00",93.64
"2018-05-28 18:22:00",93.92
"2018-05-28 18:23:00",94.19
"2018-05-28 18:24:00",93.31
"2018-05-28 18:25:00",93.29
"2018-05-28 18:26:00",93.95
"2018-05-28 18:27:00",93.92
"2018-05-28 18:28:00",93.26
"2018-05-28 18:29:00",93.27
"2018-05-28 18:30:00",93.22
"2018-05-28 18:31:00",93.15
"2018-05-28 18:32:00",92.93
"2018-05-28 18:33:00",92.21
"2018-05-28 18:34:00",92.56
"2018-05-28 18:35:00",92.56
"2018-05-28 18:36:00",92.43
"2018-05-28 18:37:00",92.5
"2018-05-28 18:38:00",92.16
"2018-05-28 18:39:00",91.72
"2018-05-28 18:40:00",91.73
"2018-05-28 18:41:00",91.94
"2018-05-28 18:42:00",91.91
"2018-05-28 18:43:00",91.66
"2018-05-28 18:44:00",91.58
"2018-05-28 18:45:00",91.63
"2018-05-28 18:46:00",91.78
"2018-05-28 18:47:00",91.59
"2018-05-28 18:48:00",91.78
"2018-05-28 18:49:00",91.74
"2018-05-28 18:50:00",91.54
"2018-05-28 18:51:00",91.55
"2018-05-28 18:52:00",91.07
"2018-05-28 18:53:00",90.97
"2018-05-28 18:54:00",90.61
"2018-05-28 18:55:00",90.66
"2018-05-28 18:56:00",90.63
"2018-05-28 18:57:00",90.92
"2018-05-28 18:58:00",90.78
"2018-05-28 18:59:00",90.72
"2018-05-28 19:00:00",90.72
"2018-05-28 19:01:00",90.72
"2018-05-28 19:02:00",90.71
"2018-05-28 19:03:00",90.71
"2018-05-28 19:04:00",90.73
"2018-05-28 19:05:00",90.78
"2018-05-28 19:06:00",90.18
"2018-05-28 19:07:00",90.63
"2018-05-28 19:08:00",90.63
"2018-05-28 19:09:00",90.48
"2018-05-28 19:10:00",90.28
"2018-05-28 19:11:00",90.3
"2018-05-28 19:12:00",90.39
"2018-05-28 19:13:00",90.15
"2018-05-28 19:14:00",89.8
"2018-05-28 19:15:00",89.72
"2018-05-28 19:16:00",89.52
"2018-05-28 19:17:00",89.52
"2018-05-28 19:18:00",89.82
"2018-05-28 19:19:00",89.8
"2018-05-28 19:20:00",89.79
"2018-05-28 19:21:00",89.79
"2018-05-28 19:22:00",89.39
"2018-05-28 19:23:00",88.97
"2018-05-28 19:24:00",89.48
"2018-05-28 19:25:00",89.91
"2018-05-28 19:26:00",90.3
"2018-05-28 19:27:00",90.27
"2018-05-28 19:28:00",90.25
"2018-05-28 19:29:00",90.67
"2018-05-28 19:30:00",90.68
"2018-05-28 19:31:00",90.67
"2018-05-28 19:32:00",90.45
"2018-05-28 19:33:00",89.95
"2018-05-28 19:34:00",90.22
"2018-05-28 19:35:00",90.26
"2018-05-28 19:36:00",90.29
"2018-05-28 19:37:00",90.35
"2018-05-28 19:38:00",90.35
"2018-05-28 19:39:00",90.32
"2018-05-28 19:40:00",90.34
"2018-05-28 19:41:00",90.34
"2018-05-28 19:42:00",90.38
"2018-05-28 19:43:00",90.39
"2018-05-28 19:44:00",90.4
"2018-05-28 19:45:00",90.68
"2018-05-28 19:46:00",90.62
"2018-05-28 19:47:00",90.56
"2018-05-28 19:48:00",90.55
"2018-05-28 19:49:00",90.53
